2026-04-19 14:13:08 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-19 14:13:08 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:09 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:09 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:10 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-19 14:13:10 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:10 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:11 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:11 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:11 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:12 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:12 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:13 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:13 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:13 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:14 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:14 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:15 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:15 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:15 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:16 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:16 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:17 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:17 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:17 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:18 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:18 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:19 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:19 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:19 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:20 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:20 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:21 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:21 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:21 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:22 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:22 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:23 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:23 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:23 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:24 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:24 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:25 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:25 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:25 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:26 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:26 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-19 14:13:27 | INFO     | server:169 | РЎРµСЂРІРµСЂ РѕСЃС‚Р°РЅРѕРІР»РµРЅ
2026-04-19 14:13:35 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-19 14:13:36 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-19 14:15:15 | INFO     | server:178 | РџРѕР»СѓС‡РµРЅ Р·Р°РїСЂРѕСЃ РЅР° РѕРїРёСЃР°РЅРёРµ: image.jpg
2026-04-19 14:15:15 | INFO     | server:132 | РќР°С‡Р°Р»Рѕ РѕР±СЂР°Р±РѕС‚РєРё РёР·РѕР±СЂР°Р¶РµРЅРёСЏ: image.jpg
2026-04-19 14:15:15 | INFO     | server:61 | Р—Р°РїСЂРѕСЃ С‚РѕРєРµРЅР° РґРѕСЃС‚СѓРїР°...
2026-04-19 14:15:15 | INFO     | server:85 | РўРѕРєРµРЅ СѓСЃРїРµС€РЅРѕ РїРѕР»СѓС‡РµРЅ
2026-04-19 14:15:15 | INFO     | server:90 | Р—Р°РіСЂСѓР·РєР° РёР·РѕР±СЂР°Р¶РµРЅРёСЏ image.jpg (177924 Р±Р°Р№С‚)
2026-04-19 14:15:16 | INFO     | server:122 | РР·РѕР±СЂР°Р¶РµРЅРёРµ Р·Р°РіСЂСѓР¶РµРЅРѕ, file_id=ccfe63b3-3dfc-44b8-936d-38ae66add799
2026-04-19 14:15:18 | INFO     | server:161 | РћС‚РІРµС‚ РѕС‚ РЅРµР№СЂРѕСЃРµС‚Рё РїРѕР»СѓС‡РµРЅ
2026-04-19 14:16:54 | INFO     | server:169 | РЎРµСЂРІРµСЂ РѕСЃС‚Р°РЅРѕРІР»РµРЅ
