2026-04-18 20:53:33 | ERROR    | fastapi:119 | Form data requires "python-multipart" to be installed. 
You can install "python-multipart" with: 

pip install python-multipart

2026-04-18 20:54:11 | ERROR    | fastapi:119 | Form data requires "python-multipart" to be installed. 
You can install "python-multipart" with: 

pip install python-multipart

2026-04-18 21:19:09 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:10 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:10 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:11 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:11 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:11 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:12 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:12 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:13 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:13 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:13 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:14 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:14 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:15 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:15 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:15 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:16 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:16 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:17 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:17 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:17 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:18 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:18 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:19 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:19 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:20 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:20 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:20 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:21 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:21 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:22 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:22 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:22 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:23 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:23 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:24 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:24 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:24 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:25 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:25 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:26 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:26 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:26 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:27 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:27 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:28 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:28 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:28 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:29 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:29 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:30 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:30 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:30 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:31 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:31 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:32 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:32 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:33 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:33 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:33 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:34 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:34 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:35 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:35 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:35 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:36 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:36 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:37 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:37 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:37 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:38 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:38 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:39 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:39 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:39 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:40 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:40 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:41 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:41 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:41 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:42 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:42 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:43 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:43 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:43 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:44 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:44 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:45 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:45 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:45 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:46 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:46 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:47 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:47 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:47 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:48 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:48 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:49 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:49 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:49 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:50 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:50 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:51 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:51 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:51 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:52 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:52 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:53 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:53 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:53 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:54 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:19:54 | INFO     | watchfiles.main:308 | 1 change detected
2026-04-18 21:20:39 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-18 21:20:40 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-18 21:30:17 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-18 21:30:18 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-18 21:34:27 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-18 21:34:29 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-18 21:37:54 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-18 21:37:55 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-18 21:53:39 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-18 21:53:41 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-18 21:55:57 | INFO     | server:169 | РЎРµСЂРІРµСЂ РѕСЃС‚Р°РЅРѕРІР»РµРЅ
2026-04-18 22:13:40 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-18 22:13:41 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-18 22:15:37 | INFO     | server:169 | РЎРµСЂРІРµСЂ РѕСЃС‚Р°РЅРѕРІР»РµРЅ
2026-04-18 22:15:47 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-18 22:15:49 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-18 22:20:50 | INFO     | server:169 | РЎРµСЂРІРµСЂ РѕСЃС‚Р°РЅРѕРІР»РµРЅ
2026-04-18 22:20:55 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-18 22:20:56 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-18 22:24:26 | INFO     | server:169 | РЎРµСЂРІРµСЂ РѕСЃС‚Р°РЅРѕРІР»РµРЅ
2026-04-18 22:26:48 | INFO     | __main__:227 | Р—Р°РїСѓСЃРє СЃРµСЂРІРµСЂР° РЅР° http://0.0.0.0:8000
2026-04-18 22:26:49 | INFO     | server:167 | РЎРµСЂРІРµСЂ Р·Р°РїСѓС‰РµРЅ
2026-04-18 22:27:46 | INFO     | server:178 | РџРѕР»СѓС‡РµРЅ Р·Р°РїСЂРѕСЃ РЅР° РѕРїРёСЃР°РЅРёРµ: image.jpg
2026-04-18 22:27:46 | INFO     | server:132 | РќР°С‡Р°Р»Рѕ РѕР±СЂР°Р±РѕС‚РєРё РёР·РѕР±СЂР°Р¶РµРЅРёСЏ: image.jpg
2026-04-18 22:27:46 | INFO     | server:61 | Р—Р°РїСЂРѕСЃ С‚РѕРєРµРЅР° РґРѕСЃС‚СѓРїР°...
2026-04-18 22:27:46 | INFO     | server:85 | РўРѕРєРµРЅ СѓСЃРїРµС€РЅРѕ РїРѕР»СѓС‡РµРЅ
2026-04-18 22:27:46 | INFO     | server:90 | Р—Р°РіСЂСѓР·РєР° РёР·РѕР±СЂР°Р¶РµРЅРёСЏ image.jpg (153043 Р±Р°Р№С‚)
2026-04-18 22:27:47 | INFO     | server:122 | РР·РѕР±СЂР°Р¶РµРЅРёРµ Р·Р°РіСЂСѓР¶РµРЅРѕ, file_id=191def85-c4a8-45c8-8b58-ec2e6d6254fa
